UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA;ESTADO_MESA;UBICACION_EN_CEDULA;TIPO_AGRUPACION;CODIGO_AGRUPACION;AGRUPACION_POLITICA;VOTOS_OBTENIDOS;ELECTORES_HABILES;VOTOS_BLANCOS;VOTOS_NULOS;VOTOS_IMPUG
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900035;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;4;209;2;8;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900035;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;8;209;2;8;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900035;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;15;209;2;8;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900035;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;94;209;2;8;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900035;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;61;209;2;8;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900036;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;1;209;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900036;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;7;209;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900036;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;5;209;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900036;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;94;209;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900036;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;71;209;3;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900037;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;2;206;3;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900037;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;6;206;3;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900037;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;8;206;3;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900037;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;102;206;3;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900037;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;59;206;3;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900038;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;0;165;1;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900038;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;17;165;1;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900038;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;53;165;1;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900038;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;13;165;1;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900038;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;36;165;1;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900039;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;0;164;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900039;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;36;164;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900039;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;44;164;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900039;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;19;164;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900039;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;21;164;5;4;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900040;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;26;163;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900040;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;42;163;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900040;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;42;163;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900040;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;3;163;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900040;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;6;163;2;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900041;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;29;163;1;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900041;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;39;163;1;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900041;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;40;163;1;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900041;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;5;163;1;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900041;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;2;163;1;5;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900042;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;7;217;4;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900042;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;13;217;4;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900042;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;5;217;4;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900042;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;77;217;4;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900042;ACTA ELECTORAL NORMAL;6;REGIONAL;00002548;TODOS SOMOS AMAZONAS;67;217;4;7;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900043;ACTA ELECTORAL NORMAL;1;NACIONAL;00002160;EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD;15;217;3;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900043;ACTA ELECTORAL NORMAL;3;REGIONAL;00000040;MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO;18;217;3;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900043;ACTA ELECTORAL NORMAL;4;REGIONAL;00000087;MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS;0;217;3;6;0
010603;AMAZONAS;CONDORCANQUI;EL CENEPA;MUNICIPAL DISTRITAL;900043;ACTA ELECTORAL NORMAL;5;REGIONAL;00002277;SENTIMIENTO AMAZONENSE REGIONAL;94;217;3;6;0
